Peak (ms),Timestamp (ms),Est Tau (ms),Rise Time (ms),Rise Rate (pA/ms),Amplitude (pA),Fit Amplitude (pA),Fit Tau (ms),Amp Offset (pA),Start (ms),IEI (ms),Acquisition,Holding Current (pA)
7576.0,17576.0,2.8814008307774204,1.4,18.58319995335999,26.016479934703984,-24.87469797009299,2.543379872387334,0.4311006767813252,75718,263.6999999999998,2,-44.403797399657776
7839.7,17839.7,2.7784777989814757,1.5,5.628945066753739,8.443417600130608,-8.80763225960608,2.0802535128327717,0.2998563501840772,78355,92.40000000000055,2,-44.403797399657776
7932.1,17932.1,3.1810899184492882,1.5,7.916418062073531,11.874627093110297,-9.991953267162557,1.9747418015780769,-0.5547866129030632,79279,25.299999999999272,2,-44.403797399657776
7957.4,17957.4,4.865823096994427,1.5,7.701720500634824,11.552580750952236,-8.212037918122999,4.20135484152484,1.1192278318194717,79531,202.10000000000036,2,-44.403797399657776
8159.5,18159.5,2.3202063484102835,3.4,8.897077906055983,30.25006488059034,-28.620964015828758,2.635741956733903,0.8620215380770511,81550,212.5,2,-44.403797399657776
8372.0,18372.0,7.7031863903146585,1.4,6.747889199866963,9.447044879813747,-10.340999090217219,5.826175042717294,2.404595365555341,83680,69.0,2,-44.403797399657776
8441.0,18441.0,1.4794875576422784,1.5,10.10757034843626,15.16135552265439,-14.565774171033945,1.8325028118458724,0.4145150315623499,84366,340.2999999999993,2,-44.403797399657776
8781.3,18781.3,5.372753941673727,2.5,8.30414938873246,20.76037347183115,-23.43968489704443,4.405439937161386,2.688655612689296,87770,89.20000000000073,2,-44.403797399657776
8870.5,18870.5,4.194159720110474,1.5,18.40381104463521,27.605716566952815,-22.819781625085657,3.0908314756387103,0.772438277845517,88662,152.29999999999927,2,-44.403797399657776
9022.8,19022.8,1.9439650241663913,2.0,2.604702290555901,5.209404581111802,-6.1327361889579,2.062849354249292,1.218095615761321,90187,82.30000000000109,2,-44.403797399657776
